Wdft_RegionIdentifier,Census_IsTouchEnabled,Census_IsSecureBootEnabled,IsSxsPassiveMode,Census_MDC2FormFactor,Census_OSWUAutoUpdateOptionsName,OsSuite,Census_IsPortableOperatingSystem,Census_ActivationChannel,Census_OSArchitecture,AutoSampleOptIn,Census_GenuineStateName,Census_IsPenCapable,Processor,ProductName,Census_PrimaryDiskTypeName,Platform,HasTpm,MachineIdentifier,Census_HasOpticalDiskDrive,SkuEdition,IsBeta,OsPlatformSubRelease,Census_FlightRing,Census_OSInstallTypeName,Census_DeviceFamily,SmartScreen,HasDetections
10.0,0,0,0,Notebook,AutoInstallAndRebootAtMaintenanceTime,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,dda6183a257de3845e00bcba48b781dc,0,Pro,0,rs2,Retail,Update,Windows.Desktop,RequireAdmin,0
15.0,0,0,0,Notebook,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,f08e9d6226feb7d7df1e4a46f84ffe3e,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
5.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,dbd0dd69615c059b40704ee408c34e6f,0,Home,0,rs2,Retail,Other,Windows.Desktop,ExistsNotSet,0
3.0,0,0,0,Desktop,UNKNOWN,256,0,Retail,amd64,0,IS_GENUINE,1,x64,win8defender,HDD,windows10,1,22e8605c5054557f7c83f9c5653157b0,0,Pro,0,rs3,Retail,IBSClean,Windows.Desktop,Off,1
15.0,0,0,0,Notebook,UNKNOWN,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,fa5eb5a9b2ec76e54e04ab64e10b1fea,0,Pro,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
1.0,1,1,0,Detachable,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,1,x64,win8defender,SSD,windows10,1,f17da822b0803b8de9633ea7b3c76639,0,Pro,0,rs4,Retail,Refresh,Windows.Desktop,Warn,0
3.0,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,a9136d1694794fc0ea4d1e98e1519b8a,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
7.0,0,1,0,Notebook,AutoInstallAndRebootAtMaintenanceTime,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,4bbcdfc561b9a3a72373c47a1bc83ce7,0,Home,0,rs3,Retail,Update,Windows.Desktop,RequireAdmin,0
10.0,1,1,0,AllInOne,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,3981b57872b36a8a6e3ed962b128e153,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
3.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,2e084000e8f13d6e2e025cd8406b8bcf,1,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,0
10.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,bf95e844b41e5a26819d217ea227ed80,0,Home,0,rs2,Retail,Other,Windows.Desktop,ExistsNotSet,1
3.0,0,0,0,Notebook,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,d5d5b12a6adbfb925a7a4f490c1d616a,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
11.0,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,2ef7d7a5d4f3aaeddf8010a810717120,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
11.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,72a60152c213bd9af81aa227562d4033,1,Home,0,rs3,Retail,Other,Windows.Desktop,ExistsNotSet,0
7.0,0,0,0,Desktop,UNKNOWN,768,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,Unspecified,windows10,1,c71437f7a6d94f6da34e353416f53ae0,0,Home,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
13.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,24d0dabc5649e4004eaa3b2daefa5115,0,Home,0,rs2,Retail,Upgrade,Windows.Desktop,RequireAdmin,1
12.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,fab5889ee8918703cbca79a7c7c51021,0,Home,0,rs1,Retail,Update,Windows.Desktop,RequireAdmin,0
7.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,a013c4cab5d782a30bd1ec037311e33b,0,Pro,0,rs4,Retail,Upgrade,Windows.Desktop,Off,1
1.0,0,0,0,Notebook,UNKNOWN,256,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,ee9e9a206b876526ccbadc35dfd3b4b9,0,Pro,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,1
3.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,42cbb38fa1412021e26377c345c0e2e8,0,Home,0,rs3,Retail,Other,Windows.Desktop,ExistsNotSet,0
10.0,0,0,0,Notebook,UNKNOWN,768,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,ba3fae20ab4e160415722c2823367704,0,Home,0,th1,NOT_SET,IBSClean,Windows.Desktop,ExistsNotSet,0
15.0,0,0,0,Desktop,FullAuto,768,0,OEM:NONSLP,amd64,0,IS_GENUINE,1,x64,win8defender,HDD,windows10,1,497c6baaf69b1a6b1a0bd2b12aea9e29,0,Home,0,rs4,Unknown,Upgrade,Windows.Desktop,RequireAdmin,0
15.0,1,1,0,Convertible,UNKNOWN,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,71b91fc18de8df255856dcbf1b39d9e5,0,Home,0,rs3,Retail,Reset,Windows.Desktop,ExistsNotSet,1
10.0,0,1,0,PCOther,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,c3c2fef56f4df2c8efbc7cb3493829cb,0,Home,0,rs1,Retail,Reset,Windows.Desktop,RequireAdmin,0
3.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,ccc7ca74cc20dfc3491e22bc30ef3053,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
11.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,b158ec34bf2be487cab7a042d1a1ce48,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
3.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,36c079308ea180f81f40fc4051710a56,0,Home,0,rs3,Retail,Other,Windows.Desktop,ExistsNotSet,1
1.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,e751e6666f11031dd3276277a2742cd3,0,Home,0,rs2,Retail,Other,Windows.Desktop,ExistsNotSet,0
10.0,1,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,27c2784f47e1b72948eb12ce2daa464a,0,Home,0,rs4,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
10.0,0,0,0,Notebook,UNKNOWN,256,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,20269d72d192a720394b4d7cbd87c766,0,Pro,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
3.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,919fbad54a167f7716157acffa5b61dd,0,Home,0,rs4,Retail,Update,Windows.Desktop,RequireAdmin,0
10.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,65b110d1f68d3b08aed0f405cf9f9cd9,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,0
10.0,0,0,0,Notebook,UNKNOWN,768,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,HDD,windows10,1,90b1c7c993ecf40a60283e0d1249d588,1,Home,0,rs1,Retail,IBSClean,Windows.Desktop,RequireAdmin,0
15.0,1,0,0,Desktop,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,cd30ce811dca415cfaddfb5aa193135a,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,1
3.0,0,0,0,Desktop,UNKNOWN,256,0,Retail,amd64,0,UNKNOWN,0,x64,win8defender,UNKNOWN,windows10,1,233ea3c3658b3ddd4279a15c145f5333,0,Pro,0,rs3,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
3.0,0,0,0,Notebook,UNKNOWN,768,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,HDD,windows10,1,7823c75db046003b0d1c3c85d2edbffb,0,Home,0,rs4,Unknown,IBSClean,Windows.Desktop,RequireAdmin,0
13.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,d2e324099f559749506d53bae55f70b9,0,Pro,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,0
11.0,0,0,0,Notebook,UNKNOWN,256,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,c8d3c7e67eb173688dfb5810d99200b4,0,Pro,0,rs2,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
10.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,a08a95e67eb23eddce3f5ade2c76c7ff,0,Home,0,rs2,Retail,Other,Windows.Desktop,ExistsNotSet,1
10.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,a1fdec2cbf276daee5fc352c7de0b77c,0,Pro,0,rs4,Retail,Update,Windows.Desktop,RequireAdmin,1
7.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,95005695e23c506c029ce024030421be,0,Home,0,rs1,Retail,Update,Windows.Desktop,RequireAdmin,1
3.0,0,0,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,bd857eb2cd94b7d5cc9cf3ad0251b8f7,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,0
15.0,0,0,0,Desktop,UNKNOWN,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,c87791fcad3d910458827bedab11fdf8,0,Pro,0,th2,Retail,IBSClean,Windows.Desktop,RequireAdmin,0
6.0,0,0,0,Notebook,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,4cf775a78b1fa2aaaf5e09060cacd250,0,Pro,0,rs3,Retail,Update,Windows.Desktop,RequireAdmin,0
10.0,0,0,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,df2aee0afc72fabd78cdacfd08960d31,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
2.0,0,0,0,Desktop,UNKNOWN,256,0,Volume:GVLK,amd64,0,INVALID_LICENSE,0,x64,win8defender,Unspecified,windows10,1,e99a60f4799c8b5c458550b645bf3227,0,Enterprise,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
11.0,0,0,0,Notebook,AutoInstallAndRebootAtMaintenanceTime,768,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,HDD,windows10,1,a31150c327564d643ab6150abccdaa26,1,Home,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
11.0,0,1,0,PCOther,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,47b4b625273f68b4aa5750043cf0f1f7,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
7.0,0,1,0,Notebook,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows8,1,2c152881f3adb96ba46019aac680e02b,0,Pro,0,windows8.1,Retail,Update,Windows.Desktop,RequireAdmin,0
10.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,Unspecified,windows10,1,aed54766b4cc5e3b65297c050879394b,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
1.0,0,0,0,Desktop,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,d69dc6f7b142b5e2e630fd5bb6d43509,0,Pro,0,rs2,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
3.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,c697a2097bc3062de28569b947cff83e,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,1
11.0,0,1,0,Desktop,UNKNOWN,256,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,dbe38e84de64b5e4c2d9f60613cf3618,0,Pro,0,rs3,Retail,Other,Windows.Desktop,ExistsNotSet,1
7.0,0,1,0,Desktop,UNKNOWN,768,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,18de2dd80ff84a0ec9e559af3fd7b994,0,Home,0,rs1,Retail,IBSClean,Windows.Desktop,RequireAdmin,1
1.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,dd97b27c523b760f949c72a6814205a0,0,Home,0,rs4,Retail,Update,Windows.Desktop,RequireAdmin,1
13.0,1,0,0,Detachable,Notify,768,0,OEM:DM,x86,0,IS_GENUINE,0,x86,win8defender,SSD,windows10,1,19b276314e3d1e600b694ac0e28c52e3,0,Home,0,th2,Unknown,Other,Windows.Desktop,RequireAdmin,0
11.0,0,0,0,Notebook,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,806d7559b5bdaca764f601f8818c76b8,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,1
